Id,cnpj,nome_razao_social,nome_fantasia,logradouro,numero,complemento,cep,bairro,municipio,uf,email,telefone
1,12438653000136,DIAS INCORPORADORA LTDA,NULL,R SALGADO FILHO,2954,ANDAR SEGUNDO SALA 01,85801190,CENTRO,CASCAVEL,PR,COMPRAS@DIASINCORPORADORA.COM.BR,45999225791
2,50027182991,EDSON APARECIDO VILLA DE CARVALHO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,20698704991,LORIVAL TEIXEIRA DOS SANTOS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,84804541000162,SS IMOVEIS LTDA,SS IMOVEIS,RUA NATAL,126,SALA 5,85813293,COUNTRY,CASCAVEL,PR,atendimento@ssimoveis.net.br,4533062618
5,77837102000190,1 SERVICO DE REGISTRO DE IMOVEIS DA COMARCA DE TOLEDO,1 SERVICO DE REGISTRO DE IMOVEIS DA COMARCA DE TOLEDO,R ALMIRANTE BARROSO,2990,,85900020,CENTRO,TOLEDO,PR,,NULL
6,01254272631,TABELIONADO DE TOLEDO - ANA PAULA VIANA DUARTE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,12893250000187,ENGVEL ENGENHARIA E TOPOGRAFIA LTDA,ENGVEL ENGENHARIA E TOPOGRAFIA,RUA PEDRO CARLOS NEPPEL,377,SALA 01,85819769,REGIAO DO LAGO,CASCAVEL,PR,contato@engvel.com.br,4530373439
8,19945607000172,IGUASSU POKER CLUB TEXAS HOLD'EM,IPC IGUASSU POKER CLUB TEXAS HOLD'EM,AV REPUBLICA ARGENTINA,694,********,85851200,CENTRO,FOZ DO IGUACU,PR,,45999210070
9,19834836000110,HOSPITAL OFTALMOLOGICO CENTRO AVANCADO DA VISAO LTDA.,HOLHOS PRIME,AVENIDA PRESIDENTE TANCREDO NEVES,684,,85805000,CENTRO,CASCAVEL,PR,gerencia@holhosprime.com.br,4531228080
10,78118601000190,CORBELIA CARTORIO DE REGISTRO DE IMOVEIS,CARTORIO ALTAIR COSTA,RUA VIOLETA,505,,85420000,CENTRO,CORBéLIA,PR,,NULL
11,01648980937,IASCARA CRISTINA SCHONEWEISS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,78680600000135,IHEC - INSTITUTO DE HEMATOLOGIA DE CASCAVEL LTDA,BANCO DE SANGUE,RUA SANTA CATARINA,1.268,,85806040,CENTRO,CASCAVEL,PR,,NULL
13,78117413000148,INSTITUTO DO PULMAO DE CASCAVEL LTDA,INSTITUTO DO PULMAO,RUA SANTA CATARINA,1209,,85801040,CENTRO,CASCAVEL,PR,financeiro@institutodopulmao.com.br,4532238722
